sourceImageId,fileName,url,alternateId
D2CDB044-616D-E211-BE78-CC52AF888AB6,TENN-L-0000003_lg.jpg,http://storage.idigbio.org/tenn/lichens/TENN-L-0000/TENN-L-0000003_lg.jpg,1010331
D3CDB044-616D-E211-BE78-CC52AF888AB6,TENN-L-0000004_lg.jpg,http://storage.idigbio.org/tenn/lichens/TENN-L-0000/TENN-L-0000004_lg.jpg,1010332
D4CDB044-616D-E211-BE78-CC52AF888AB6,TENN-L-0000005_lg.jpg,http://storage.idigbio.org/tenn/lichens/TENN-L-0000/TENN-L-0000005_lg.jpg,1010333
D5CDB044-616D-E211-BE78-CC52AF888AB6,TENN-L-0000006_lg.jpg,http://storage.idigbio.org/tenn/lichens/TENN-L-0000/TENN-L-0000006_lg.jpg,1010334
D6CDB044-616D-E211-BE78-CC52AF888AB6,TENN-L-0000007_lg.jpg,http://storage.idigbio.org/tenn/lichens/TENN-L-0000/TENN-L-0000007_lg.jpg,1010335
D7CDB044-616D-E211-BE78-CC52AF888AB6,TENN-L-0000008_lg.jpg,http://storage.idigbio.org/tenn/lichens/TENN-L-0000/TENN-L-0000008_lg.jpg,1010336
D8CDB044-616D-E211-BE78-CC52AF888AB6,TENN-L-0000009_lg.jpg,http://storage.idigbio.org/tenn/lichens/TENN-L-0000/TENN-L-0000009_lg.jpg,1010337
D9CDB044-616D-E211-BE78-CC52AF888AB6,TENN-L-0000010_lg.jpg,http://storage.idigbio.org/tenn/lichens/TENN-L-0000/TENN-L-0000010_lg.jpg,1010338
DBCDB044-616D-E211-BE78-CC52AF888AB6,TENN-L-0000012_lg.jpg,http://storage.idigbio.org/tenn/lichens/TENN-L-0000/TENN-L-0000012_lg.jpg,1010340
DCCDB044-616D-E211-BE78-CC52AF888AB6,TENN-L-0000013_lg.jpg,http://storage.idigbio.org/tenn/lichens/TENN-L-0000/TENN-L-0000013_lg.jpg,1010341
DDCDB044-616D-E211-BE78-CC52AF888AB6,TENN-L-0000014_lg.jpg,http://storage.idigbio.org/tenn/lichens/TENN-L-0000/TENN-L-0000014_lg.jpg,1010342
DECDB044-616D-E211-BE78-CC52AF888AB6,TENN-L-0000015_lg.jpg,http://storage.idigbio.org/tenn/lichens/TENN-L-0000/TENN-L-0000015_lg.jpg,1010343
